case_id,grid,shape,spacing,anisotropy,rho_frozen,rho_eff,stencil_m,n_directions,apriori_bound,in_domain,domain_reasons,area_true,area_v2,area_rel_err,area_E0,area_E0_rel_err,volume_true,volume_est,volume_rel_err,sphericity_true,sphericity_v2,sphericity_rel_err
confirm-017-cylinder-size5-sp1.5x1x1-rot0,confirm,cylinder,1.5x1.0x1.0,1.5,3.3333333333333335,4.2431376717882205,2,49,0.041002657435921575,False,rho_eff 4.24 < 8.0,549.7787143782137,543.753124000506,-0.010960028498961716,582.2884521484375,0.059132405311455916,981.7477042468104,1080.0,0.10007896665118055,0.8688859993676283,0.9361918650398197,0.07746225134387741
confirm-018-cylinder-size5-sp1.5x1x1-rot1,confirm,cylinder,1.5x1.0x1.0,1.5,3.3333333333333335,4.073391020055801,2,49,0.04234540480075906,False,rho_eff 4.07 < 8.0,549.7787143782137,498.0832285052371,-0.09402962413967397,569.6593627929688,0.03616118248091782,981.7477042468104,955.5,-0.02673569200444159,0.8688859993676283,0.9418953807473776,0.08402642168579666
confirm-019-cylinder-size5-sp1.5x1x1-rot2,confirm,cylinder,1.5x1.0x1.0,1.5,3.3333333333333335,4.105116527136192,2,49,0.04208173711930723,False,rho_eff 4.11 < 8.0,549.7787143782137,507.3815624198406,-0.07711675779649507,575.9465942382812,0.047597113485309706,981.7477042468104,978.0,-0.003817380199208742,0.8688859993676283,0.9390931647782659,0.08080135421877443
confirm-020-cylinder-size10-sp1.5x1x1-rot0,confirm,cylinder,1.5x1.0x1.0,1.5,6.666666666666667,8.282525517838161,3,145,0.021558151057116955,True,,2199.114857512855,2111.193850748399,-0.03998017950908317,2268.215576171875,0.03142205984510116,7853.981633974483,8032.5,0.022729664308519526,0.8688859993676283,0.9187340978425206,0.0573701250925569
confirm-021-cylinder-size10-sp1.5x1x1-rot1,confirm,cylinder,1.5x1.0x1.0,1.5,6.666666666666667,8.204982871836519,3,145,0.021725770584899454,True,,2199.114857512855,2080.12969107881,-0.054105935407400385,2366.653564453125,0.07618460962505269,7853.981633974483,7809.0,-0.005727239516311489,0.8688859993676283,0.9150763404313258,0.053160415862742116
confirm-022-cylinder-size10-sp1.5x1x1-rot2,confirm,cylinder,1.5x1.0x1.0,1.5,6.666666666666667,8.22018994333156,3,145,0.021692524052009263,True,,2199.114857512855,2093.884311075843,-0.04785131894203343,2388.928466796875,0.08631364052475843,7853.981633974483,7852.5,-0.0001886474967134344,0.8688859993676283,0.9124380863716031,0.05012405198803038
confirm-023-cylinder-size20-sp1.5x1x1-rot0,confirm,cylinder,1.5x1.0x1.0,1.5,13.333333333333334,16.388002821387513,4,289,0.01310316560032905,True,,8796.45943005142,8445.473885619032,-0.03990077453586749,8986.328125,0.021584672385338344,62831.853071795864,62221.5,-0.009714070840763367,0.8688859993676283,0.8991257154011375,0.0348028579762103
confirm-024-cylinder-size20-sp1.5x1x1-rot1,confirm,cylinder,1.5x1.0x1.0,1.5,13.333333333333334,16.430822056960853,4,289,0.013086043473343741,True,,8796.45943005142,8507.186842389627,-0.0328851158766843,9659.595703125,0.09812314601541172,62831.853071795864,62710.5,-0.0019313941235696852,0.8688859993676283,0.8972738182016775,0.032671511400470976
confirm-025-cylinder-size20-sp1.5x1x1-rot2,confirm,cylinder,1.5x1.0x1.0,1.5,13.333333333333334,16.443388956523282,4,289,0.013081043719069506,True,,8796.45943005142,8544.14293539952,-0.02868386953390678,9669.185546875,0.09921333961276257,62831.853071795864,62854.5,0.00036043705695365524,0.8688859993676283,0.8947599503145612,0.029778303443448007
confirm-026-sphere-size5-sp2.5x0.8x0.8-offset0,confirm,sphere,2.5x0.8x0.8,3.125,2.0,2.0015282782956136,2,49,0.09033726238878495,False,rho_eff 2.00 < 8.0;anisotropy 3.12 > 3.0,314.1592653589793,308.92900841977115,-0.016648424910313375,361.73370361328125,0.15143414025984625,523.5987755982989,524.8000000000001,0.002294169615520314,0.9999999999999997,1.0184850338119469,0.018485033811947327
confirm-027-sphere-size5-sp2.5x0.8x0.8-offset1,confirm,sphere,2.5x0.8x0.8,3.125,2.0,2.0136590488681874,2,49,0.09002426220646283,False,rho_eff 2.01 < 8.0;anisotropy 3.12 > 3.0,314.1592653589793,313.03407266358454,-0.003581599588059481,365.726318359375,0.16414302771389444,523.5987755982989,534.4,0.02062881905970637,0.9999999999999997,1.0173494295700434,0.017349429570043817
