spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,36,0.619791666667,0.732806301934,0.280808144071,0.0052175,1.07105016534,0.0857443809509,1.34972538257e-07
1x1x1,48,48,37,0.609375,-0.354291835567,-0.709323201809,0.0052225,1.06497516373,0.0857443809509,1.34972538257e-07
1x1x1,48,48,38,0.598958333333,-0.220067676801,0.769947486883,0.0052375,1.07730187096,0.0857443809509,1.34972538257e-07
1x1x1,48,48,39,0.588541666667,0.688913119091,-0.42310450357,0.00524,1.0639605132,0.0857443809509,1.34972538257e-07
1x1x1,48,48,40,0.578125,-0.801131552578,-0.154789275595,0.0052325,1.07820409657,0.0857443809509,1.34972538257e-07
1x1x1,48,48,41,0.567708333333,0.490509428699,0.661141247103,0.00525,1.05963487392,0.0857443809509,1.34972538257e-07
1x1x1,48,48,42,0.557291666667,0.0856390673282,-0.825888581112,0.005245,1.06797836246,0.0857443809509,1.34972538257e-07
1x1x1,48,48,43,0.546875,-0.626186194407,0.555714480924,0.0052475,1.05881913343,0.0857443809509,1.34972538257e-07
1x1x1,48,48,44,0.536458333333,0.843821650791,0.013322096455,0.00524,1.08147297463,0.0857443809509,1.34972538257e-07
1x1x1,48,48,45,0.526041666667,-0.61795511062,-0.584304412262,0.005245,1.04223546264,0.0857443809509,1.34972538257e-07
1x1x1,48,48,46,0.515625,0.0614245344552,0.854609785775,0.005235,1.09245657632,0.0857443809509,1.34972538257e-07
1x1x1,48,48,47,0.505208333333,0.535827073273,-0.676501210256,0.0052425,1.06357466585,0.0857443809509,1.34972538257e-07
1x1x1,48,48,48,0.494791666667,-0.858010282246,0.13783889929,0.0052375,1.10203079557,0.0857443809509,1.34972538257e-07
1x1x1,48,48,49,0.484375,0.730663748565,0.481156259346,0.0052375,1.07139100266,0.0857443809509,1.34972538257e-07
1x1x1,48,48,50,0.473958333333,-0.215141764045,-0.853860363073,0.0052325,1.1124492114,0.0857443809509,1.34972538257e-07
1x1x1,48,48,51,0.463541666667,-0.420760494856,0.779801083118,0.005225,1.10104511578,0.0857443809509,1.34972538257e-07
1x1x1,48,48,52,0.453125,0.842078126281,-0.292544293421,0.0052325,1.12152461945,0.0857443809509,1.34972538257e-07
1x1x1,48,48,53,0.442708333333,-0.823324868413,-0.355169667413,0.0052375,1.11243718709,0.0857443809509,1.34972538257e-07
1x1x1,48,48,54,0.432291666667,0.369255861144,0.822662764407,0.00522,1.11705187695,0.0857443809509,1.34972538257e-07
1x1x1,48,48,55,0.421875,0.284969384693,-0.860705486309,0.00523,1.13185618056,0.0857443809509,1.34972538257e-07
1x1x1,48,48,56,0.411458333333,-0.795694042493,0.444491879196,0.00523,1.09935386239,0.0857443809509,1.34972538257e-07
