spacing,shape,trial,area_rel_err,volume_rel_err,sphericity_true,sphericity_est,sphericity_rel_err
1x1x1,cylinder,10,0.0964806117159,-0.000268224968259,0.858535681915,0.782852104642,-0.0881542594765
1x1x1,cylinder,11,0.0848551319036,0.00165489726077,0.858535681915,0.792255654983,-0.0772012489731
1x1x1,cylinder,12,0.0923254281888,2.35590940758e-05,0.858535681915,0.785982953359,-0.0845075284394
1x1x1,cylinder,13,0.0704764969418,0.000103136565622,0.858535681915,0.802067784114,-0.0657723365383
1x1x1,cylinder,14,0.0588380974472,-0.000308013704032,0.858535681915,0.810661593209,-0.0557624915478
1x1x1,cylinder,15,0.0693861923267,-6.92812893945e-05,0.858535681915,0.802793260263,-0.0649273208169
3x1x1,sphere,0,0.158876557231,0.0005275497472,1,0.86320813263,-0.13679186737
3x1x1,sphere,1,0.162412664554,0.00142279630209,1,0.861095492681,-0.138904507319
3x1x1,sphere,2,0.160256826143,-0.000725795429649,1,0.861461062162,-0.138538937838
3x1x1,sphere,3,0.159231508501,-0.00206866526199,1,0.861450371714,-0.138549628286
3x1x1,sphere,4,0.161072806076,-0.00144199267356,1,0.860444267695,-0.139555732305
3x1x1,sphere,5,0.160969157197,0.000348500436222,1,0.861549433877,-0.138450566123
3x1x1,sphere,6,0.160549316093,-0.000278172152203,1,0.861501126609,-0.138498873391
3x1x1,sphere,7,0.164611244771,-0.000815320085138,1,0.858188845314,-0.141811154686
3x1x1,sphere,8,0.164833696443,-0.000367696807692,1,0.858281192262,-0.141718807738
3x1x1,sphere,9,0.160227878284,-0.00153151732905,1,0.861019413817,-0.138980586183
3x1x1,sphere,10,0.158723560993,7.99264697542e-05,1,0.863064597346,-0.136935402654
3x1x1,sphere,11,0.164280967179,-0.000994369396116,1,0.858329737691,-0.141670262309
3x1x1,sphere,12,0.163111784504,0.000617074402689,1,0.86011624503,-0.13988375497
3x1x1,sphere,13,0.161417266176,0.00222851820149,1,0.862295711199,-0.137704288801
3x1x1,sphere,14,0.164850016041,-0.00108389405161,1,0.857859174662,-0.142140825338
3x1x1,sphere,15,0.160112863969,-0.00117341870709,1,0.861310652459,-0.138689347541
3x1x1,ellipsoid,0,0.111881813255,-0.00209850681382,0.937340941005,0.841842295233,-0.101882507841
3x1x1,ellipsoid,1,0.159460114145,0.00410853596677,0.937340941005,0.810641585693,-0.135168912153
3x1x1,ellipsoid,2,0.135623381284,-0.00496329578947,0.937340941005,0.82266431946,-0.122342486633
3x1x1,ellipsoid,3,0.187825099601,0.00912191667416,0.937340941005,0.793915316943,-0.153013293017
3x1x1,ellipsoid,4,0.168387923563,0.0005275497472,0.937340941005,0.802533607004,-0.143818890335
3x1x1,ellipsoid,5,0.138825629706,-0.000427379911351,0.937340941005,0.822842259964,-0.12215265122
3x1x1,ellipsoid,6,0.173728010086,0.00124374699111,0.937340941005,0.799263527757,-0.147307566765
3x1x1,ellipsoid,7,0.187503973012,-0.000188647496713,0.937340941005,0.789237824813,-0.158003464602
3x1x1,ellipsoid,8,0.139840137586,-0.00472456337483,0.937340941005,0.819752024356,-0.125449461882
3x1x1,ellipsoid,9,0.159128656877,5.00849179246e-05,0.937340941005,0.80868696753,-0.137254191988
3x1x1,ellipsoid,10,0.129487307046,0.0024374090643,0.937340941005,0.831229744041,-0.113204483366
3x1x1,ellipsoid,11,0.147268860154,0.000288817332562,0.937340941005,0.817176727345,-0.1281969115
3x1x1,ellipsoid,12,0.111969098753,-0.00400836613092,0.937340941005,0.840701834175,-0.103099206065
3x1x1,ellipsoid,13,0.147441505091,-0.0063956902773,0.937340941005,0.813409691284,-0.13221576515
3x1x1,ellipsoid,14,0.131299466056,0.000766282161838,0.937340941005,0.828975663036,-0.115609244437
3x1x1,ellipsoid,15,0.186781000449,0.00697332494242,0.937340941005,0.793485470735,-0.153471873443
3x1x1,cylinder,0,0.0968219633211,-0.000109070025167,0.858535681915,0.782691523768,-0.088341299895
3x1x1,cylinder,1,0.188970479997,0.000328606068335,0.858535681915,0.722241440041,-0.158751982876
3x1x1,cylinder,2,0.175675544098,0.000447972275654,0.858535681915,0.730466893871,-0.149171188503
3x1x1,cylinder,3,0.123313723246,5.00849179244e-05,0.858535681915,0.764313949316,-0.109747019936
3x1x1,cylinder,4,0.16907193507,-0.000109070025167,0.858535681915,0.734320299737,-0.144682841721
3x1x1,cylinder,5,0.186749168911,-0.000427379911351,0.858535681915,0.72322869317,-0.157602056146
3x1x1,cylinder,6,0.137142834579,-0.000308013704032,0.858535681915,0.754838664876,-0.120783584449
3x1x1,cylinder,7,0.136603510699,-0.000228436232486,0.858535681915,0.755236915733,-0.120319712224
3x1x1,cylinder,8,0.17723620286,-0.000984422212173,0.858535681915,0.728802041835,-0.15111036479
3x1x1,cylinder,9,0.174611273129,0.000209239861016,0.858535681915,0.731012427096,-0.148535765613
3x1x1,cylinder,10,0.108701465458,8.98736536974e-05,0.858535681915,0.774407852537,-0.0979899043799
3x1x1,cylinder,11,0.131411449815,-0.00309322520814,0.858535681915,0.757252667542,-0.117971817022
3x1x1,cylinder,12,0.0985112360631,5.00849179244e-05,0.858535681915,0.78157083874,-0.0896466446255
3x1x1,cylinder,13,0.187919128709,-6.92812893945e-05,0.858535681915,0.722688950005,-0.158230734927
3x1x1,cylinder,14,0.174927368212,0.000169451125243,0.858535681915,0.730796378538,-0.148787413346
3x1x1,cylinder,15,0.116021582579,-0.000228436232486,0.858535681915,0.769165169591,-0.104096444919
